audio,text,start,duration,handcrafted
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"You and your friend need to ace 
Friday’s exam to avoid summer classes,",6.961,4.546,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"and after a week of studying, you both
feel confident that you pulled it off.",11.799,4.296,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"But when you get your grades back,",16.471,1.626,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"they’re much lower 
than the two of you expected.",18.097,2.711,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,You’re devastated.,21.017,1.209,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"However, your friend doesn't
seem too bothered,",22.393,2.961,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"and it's making you wonder why you can't
shake this off like they can.",25.354,3.921,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"But should you really be trying
to look on the bright side?",29.525,3.17,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"And is controlling our emotions 
even possible in the first place?",32.695,4.254,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"The answer to the last question
is a definitive “yes.”",37.45,4.046,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"There are numerous strategies
for regulating our emotions,",41.788,3.169,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"and one framework to understand these
techniques is called the Process Model.",44.957,4.88,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"Psychologists use this tool to identify
where and how to intervene",49.962,4.505,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,in the process that forms our emotions.,54.467,2.544,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,That process has four steps:,57.22,2.502,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"first, we enter a situation, 
real or imagined,",59.722,3.754,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,and that draws our attention.,63.476,2.169,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"Then we evaluate, or appraise, 
the situation",66.062,3.67,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,and whether it helps or hinders our goals.,69.732,2.544,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"Finally, this appraisal leads to a set of 
changes in how we feel, think, and behave,",72.568,5.381,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,known as an emotional response.,78.324,3.086,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"Each step of this process offers 
an opportunity to consciously intervene",81.911,4.88,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"and change our emotions,",86.791,1.96,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"and the Process Model outlines what 
strategies we might try at each phase.",88.835,4.921,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"To see this in action, let’s imagine
you’ve been invited to the same party",93.798,4.004,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"as your least-favorite ex
and their new partner.",97.802,3.211,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"Your first strategy could be avoiding
the situation altogether",101.264,4.296,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,by skipping the party.,105.56,1.71,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"But if you do attend, you could also try 
modifying the situation",107.27,4.88,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,by choosing not to interact with your ex.,112.15,2.836,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"If that’s proving difficult,
you might want to shift your attention,",115.111,3.962,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,maybe by playing a game with your friends,119.073,2.044,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"rather than focusing 
on your ex’s new partner.",121.117,2.544,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"Another option would be to re-evaluate
how you think about the situation.",123.87,5.046,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"After seriously reappraising things,",129.125,2.169,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"you might realize that you don’t
care who your ex dates.",131.46,3.504,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"If none of these strategies work,",135.089,1.71,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"you can always try tempering 
your emotional response after the fact.",136.841,4.755,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,But this can be tricky.,141.929,1.335,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"Many of the easiest ways to do this,",143.389,2.169,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"like hiding your emotions or trying 
to change them with recreational drugs,",145.558,4.921,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"generally lead to more negative feelings
and health concerns in the long term.",150.563,4.463,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"More sustainable strategies here include
going for a long walk,",155.318,4.129,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"taking slow, deep breaths, or talking 
with someone in your support system.",159.447,4.755,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"While using all these strategies well 
takes practice,",164.41,3.253,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,learning to notice your emotions,167.663,1.877,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"and reflect on where they’re coming from
is half the battle.",169.54,3.087,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"And once you’ve truly internalized 
that you can regulate your emotions,",172.835,4.546,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,doing so becomes much easier.,177.465,2.002,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"But should you use these techniques 
to constantly maintain a good mood?",179.884,4.296,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"That answer depends on how you define
what makes a mood “good.”",184.472,4.337,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"It's tempting to think we should always
try to avoid sadness and frustration,",189.227,4.462,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,but no emotion is inherently good or bad—,193.689,3.337,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"they’re either helpful or unhelpful
depending on the situation.",197.318,4.087,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"For example, if a friend is telling you
about the loss of a loved one,",201.781,4.129,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"feeling and expressing sadness 
isn’t just appropriate,",205.91,3.795,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"it can help you empathize
and support them.",209.872,2.544,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"Conversely, while it’s unhealthy 
to regularly ignore your emotions,",212.583,4.046,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"forcing a smile to get through a one-time
annoyance is perfectly reasonable.",216.796,4.463,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"We hear a lot of mixed messages
about emotions.",222.26,3.211,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,Some pressure us to stay upbeat,225.68,2.419,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"while others tell us to simply take 
our emotions as they come.",228.099,3.42,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"But in reality,
each person has to find their own balance.",231.727,3.837,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"So if the question is:
“should you always try to be happy?”",235.815,4.296,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,The answer is no.,240.111,1.209,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"Studies suggest that people 
fixated on happiness",241.32,2.962,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"often experience secondary
negative emotions,",244.282,2.627,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"like guilt,",246.909,1.668,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"or frustration over being upset,",248.577,2.878,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"and disappointment that they
don't feel happier.",251.455,2.67,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"This doesn't mean you should let
sadness or anger take over.",254.417,3.545,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"But strategies like reappraisal can help
you re-evaluate",258.045,3.379,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"your thoughts about a situation,",261.424,2.127,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,allowing you to accept that you feel sad,263.551,2.878,1
./Data/mp3/How to manage your emotions.248 - 1920x1080 (1080p)+251 - audio only (medium).mp3,"and cultivate hope 
that things will get better.",266.429,3.295,1
